date,value
1927,650422.0
1937,0.0
1940,84300000.0
1960,32000000.0
1962,79245385.0
1963,81000000.0
1964,76820731.0
1965,127331696.0
1968,0.0
1969,51678778.0
1970,147311961.0
1971,41158757.0
1972,0.0
1973,444306145.0
1974,47542841.0
1975,490654000.0
1976,96246272.0
1977,1366844457.0
1978,629151089.0
1979,598189799.0
1980,1030259409.0
1981,878473584.0
1982,946429242.0
1983,1271322006.0
1984,1411821433.0
1985,1247954795.0
1986,903079590.0
1987,1390212893.0
1988,1772753421.0
1989,2377848522.0
1990,3783676688.0
1991,2565778654.0
1992,3568834633.0
1993,3672537779.0
1994,5385128200.0
1995,5998668487.0
1996,6587275933.0
1997,9089269148.0
1998,8026243134.0
1999,9656925599.0
2000,10425004431.0
2001,12961319803.0
2002,13714889613.0
2003,13732065945.0
2004,15435207586.0
2005,14126783362.0
2006,15757092818.0
2007,15593555168.0
2008,17551144512.0
2009,20685245814.0
2010,19553101259.0
2011,19737177553.0
2012,23368333093.0
2013,22612911980.0
2014,23197982870.0
2015,21972512614.0
2016,13779920970.0
