budget,revenue,popularity,runtime,vote_average,vote_count
237.0,2787.965087,150.437577,162.0,7.2,11800.0
300.0,961.0,139.082615,169.0,6.9,4500.0
245.0,880.674609,107.376788,148.0,6.3,4466.0
250.0,1084.939099,112.31295,165.0,7.6,9106.0
260.0,284.1391,43.926995,132.0,6.1,2124.0
258.0,890.871626,115.699814,139.0,5.9,3576.0
260.0,591.794936,48.681969,100.0,7.4,3330.0
280.0,1405.403694,134.279229,141.0,7.3,6767.0
250.0,933.959197,98.885637,153.0,7.4,5293.0
250.0,873.260194,155.790452,151.0,5.7,7004.0
270.0,391.081192,57.925623,154.0,5.4,1400.0
200.0,586.090727,107.928811,106.0,6.1,2965.0
200.0,1065.659812,145.847379,151.0,7.0,5246.0
255.0,89.28991,49.046956,149.0,5.9,2311.0
225.0,662.845518,99.398009,143.0,6.5,6359.0
225.0,419.651413,53.978602,150.0,6.3,1630.0
220.0,1519.55791,144.448633,143.0,7.4,11776.0
380.0,1045.713802,135.413856,136.0,6.4,4948.0
225.0,624.026776,52.035179,106.0,6.2,4160.0
250.0,956.019788,120.965743,144.0,7.1,4760.0
215.0,752.215857,89.866276,136.0,6.5,6586.0
200.0,310.66954,37.668301,140.0,6.2,1398.0
250.0,958.4,94.370564,161.0,7.6,4524.0
180.0,372.234864,42.990906,113.0,5.8,1303.0
207.0,550.0,61.22601,187.0,6.6,2337.0
200.0,1845.034188,100.025899,194.0,7.5,7562.0
250.0,1153.304495,198.372395,147.0,7.1,7241.0
209.0,303.025485,64.928382,131.0,5.5,2114.0
150.0,1513.52881,418.708552,124.0,6.5,8662.0
200.0,1108.561013,93.004993,143.0,6.9,7604.0
200.0,783.766341,35.149586,127.0,6.7,4321.0
200.0,1215.439994,77.68208,130.0,6.8,8806.0
200.0,1025.49111,78.530105,108.0,6.4,4645.0
210.0,459.359555,3.857526,104.0,6.3,3525.0
200.0,743.559607,89.186492,104.0,7.0,3528.0
150.0,836.297228,21.939663,150.0,6.0,3138.0
210.0,1091.405097,116.840296,165.0,5.8,3095.0
200.0,491.868548,46.985445,130.0,5.7,3530.0
200.0,705.717432,89.270217,142.0,6.5,4179.0
170.0,400.062763,73.79505,125.0,6.3,2841.0
200.0,559.852396,49.98659,106.0,5.8,2033.0
200.0,219.851172,51.872839,114.0,5.1,2487.0
200.0,1066.969703,59.995418,103.0,7.6,4597.0
200.0,371.353001,71.862892,115.0,5.9,2463.0
190.0,1506.24936,102.322217,137.0,7.3,4176.0
200.0,531.865,81.834855,116.0,6.7,5560.0
250.0,747.862775,118.078691,131.0,7.5,6032.0
190.0,467.365246,78.291018,132.0,7.4,4418.0
195.0,197.687603,43.349855,114.0,5.5,2598.0
105.0,351.040419,61.196071,143.0,7.3,3769.0
150.0,335.154643,62.169881,116.0,6.2,2317.0
180.0,407.602906,56.523205,131.0,6.7,4794.0
195.0,1123.746996,28.529607,154.0,6.1,3299.0
185.0,786.636033,75.674458,122.0,5.7,2495.0
175.0,331.926147,51.692953,93.0,6.6,1736.0
185.0,538.983207,125.114374,93.0,6.7,4641.0
185.0,343.471816,65.352913,122.0,6.6,2568.0
180.0,521.31186,66.390712,98.0,7.8,6296.0
140.0,258.022233,22.57178,91.0,6.1,783.0
200.0,769.653595,45.274225,158.0,5.6,4903.0
200.0,325.233863,39.744242,96.0,6.6,1095.0
176.000003,183.987723,85.36908,124.0,5.2,2768.0
180.0,356.743061,42.741719,109.0,5.5,2430.0
180.0,748.806957,67.391328,143.0,6.7,2629.0
178.0,543.934787,139.272042,144.0,6.4,4721.0
185.0,1004.558444,187.322927,152.0,8.2,12002.0
175.0,735.099082,92.201962,96.0,7.7,6870.0
175.0,381.50987,36.167578,94.0,6.0,1423.0
140.0,585.174222,120.725053,126.0,7.4,8776.0
170.0,185.77016,32.319043,126.0,7.0,2141.0
170.0,222.104681,40.748915,106.0,5.1,1020.0
145.0,401.128639,60.034162,112.0,5.2,1387.0
175.0,745.0,90.23792,123.0,5.9,7458.0
175.0,173.0,27.082182,96.0,5.3,1151.0
178.0,370.541256,79.456485,113.0,7.6,4858.0
175.0,264.21822,44.640292,135.0,5.9,992.0
175.0,302.469017,32.852443,118.0,5.6,1962.0
175.0,857.611174,128.655964,94.0,8.0,6560.0
175.0,966.5506,94.199316,106.0,6.7,2892.0
200.0,623.933331,77.300194,124.0,6.6,6849.0
170.0,396.6,77.178973,127.0,5.8,3118.0
180.0,758.539785,110.620647,97.0,7.0,4496.0
170.0,710.644566,243.791743,130.0,7.3,4410.0
27.0,0.0,2.418535,109.0,4.8,34.0
175.0,150.962475,41.796339,119.0,5.9,1326.0
170.0,714.766572,72.225265,136.0,7.6,5764.0
165.0,752.600867,44.041186,93.0,6.0,1959.0
190.0,209.154322,130.311355,130.0,6.2,2846.0
165.0,652.105443,203.73459,102.0,7.8,6135.0
165.0,471.222889,62.341073,108.0,7.1,4570.0
165.0,305.87573,47.323228,100.0,6.4,1474.0
165.0,389.681935,48.775723,120.0,4.9,2491.0
165.0,494.878759,67.263269,98.0,7.5,4227.0
200.0,435.0,69.405188,109.0,5.9,2143.0
170.0,773.328629,481.098624,121.0,7.9,9742.0
165.0,675.120017,724.247784,169.0,8.1,10867.0
160.0,825.532764,167.58371,148.0,8.1,13752.0
15.0,77.0,9.476999,120.0,6.5,143.0
250.0,1021.103568,108.849621,169.0,7.0,8297.0
38.0,207.283925,6.909942,106.0,6.6,3428.0
150.0,333.932083,60.269279,166.0,7.3,3292.0
160.0,353.624124,3.195174,132.0,7.1,5181.0
160.0,653.428261,127.284427,137.0,6.6,3984.0
150.0,215.283742,35.580815,109.0,5.8,1470.0
160.0,181.674817,21.133748,99.0,5.5,583.0
170.0,299.370084,56.268916,113.0,6.5,1725.0
160.0,798.958165,42.986467,93.0,6.0,2278.0
160.0,433.677183,63.148529,123.0,6.3,2268.0
155.0,440.603537,202.042635,126.0,5.8,3631.0
155.0,415.686217,49.661984,113.0,6.2,1514.0
140.0,449.220945,34.20669,183.0,6.6,1791.0
150.0,709.70978,25.468493,144.0,6.6,4040.0
155.0,167.298192,39.019229,175.0,5.6,927.0
150.0,938.212738,78.144395,138.0,7.4,5494.0
150.0,895.921036,101.250416,157.0,7.5,5608.0
150.0,624.029371,56.758411,92.0,6.2,2961.0
150.0,585.34901,70.867401,101.0,6.9,4853.0
150.0,474.968763,53.905592,115.0,6.7,3624.0
150.0,623.722818,65.677399,111.0,7.5,4369.0
150.0,374.218673,115.040024,140.0,7.5,7359.0
150.0,603.900354,44.141021,89.0,6.2,1810.0
150.0,413.10617,81.781591,105.0,5.9,1971.0
150.0,373.062864,5.954334,107.0,6.2,4021.0
150.0,424.988211,73.313918,129.0,6.4,3096.0
150.0,1274.219009,165.125366,102.0,7.3,5295.0
150.0,738.599701,70.78591,138.0,6.7,3443.0
170.0,644.571402,99.499595,112.0,6.8,4755.0
150.0,378.85834,434.278564,120.0,7.2,9427.0
150.0,356.613439,67.447636,138.0,6.5,2129.0
150.0,449.326618,86.493424,115.0,6.6,6525.0
150.0,309.979994,41.845878,98.0,6.3,1750.0
150.0,292.817841,26.710398,88.0,5.1,510.0
150.0,301.0,44.927635,99.0,5.5,1431.0
150.0,245.527149,50.306728,113.0,5.7,2320.0
150.0,682.330139,114.522237,131.0,7.1,3224.0
150.0,0.0,21.214571,102.0,5.5,549.0
150.0,287.594577,29.332905,91.0,5.7,1171.0
150.0,665.692281,51.247321,91.0,6.7,1880.0
150.0,318.502923,33.769336,103.0,4.7,1151.0
150.0,397.850012,63.079003,126.0,6.5,2028.0
150.0,205.366737,39.004588,131.0,6.4,1891.0
150.0,38.992758,12.362599,88.0,5.5,199.0
149.0,64.459316,22.550135,85.0,6.0,874.0
150.0,128.38832,48.03528,111.0,5.9,954.0
145.0,272.91243,38.73494,92.0,6.7,843.0
175.0,497.409852,66.803149,163.0,6.9,2759.0
145.0,746.921274,44.989192,93.0,6.4,1808.0
140.0,431.971116,54.159392,133.0,5.8,1092.0
144.0,229.147509,66.21806,116.0,5.3,2142.0
140.0,553.799566,58.485967,151.0,6.4,2482.0
140.0,441.818803,91.332849,88.0,6.0,3114.0
70.0,195.735876,35.601665,115.0,5.5,841.0
145.0,521.170825,56.747978,95.0,6.7,1603.0
145.0,694.71338,77.77477,133.0,6.8,3972.0
145.0,306.94167,61.788035,97.0,7.1,1922.0
100.0,202.026112,25.159168,90.0,5.9,627.0
140.0,456.758981,52.341226,154.0,7.3,1895.0
140.0,268.031828,101.599427,150.0,5.6,1921.0
150.0,385.680446,73.616808,127.0,7.4,4518.0
139.0,821.708551,82.502566,121.0,6.8,5265.0
145.0,609.123048,100.21391,102.0,7.6,3106.0
140.0,150.680864,56.257249,127.0,5.3,1277.0
135.0,76.932943,17.88953,121.0,4.9,331.0
130.0,185.258983,64.798873,163.0,7.0,2811.0
140.0,285.444603,24.855701,127.0,6.3,767.0
137.0,245.36048,34.981698,138.0,5.3,1533.0
130.0,371.876278,59.325589,110.0,5.4,3025.0
130.0,119.269486,21.605568,124.0,5.7,434.0
137.0,85.13183,26.074908,106.0,5.9,433.0
140.0,370.569774,74.506246,124.0,6.6,7047.0
135.0,361.8324,39.604363,128.0,6.0,862.0
150.0,212.011111,36.973031,138.0,6.9,790.0
120.0,829.0,99.687084,115.0,6.1,2553.0
130.0,150.406466,17.7735,100.0,5.8,373.0
150.0,163.712074,62.898336,114.0,6.1,3021.0
140.0,183.345589,44.19092,120.0,6.0,1000.0
135.0,532.950503,100.635882,156.0,7.3,6396.0
135.0,282.570682,44.765377,96.0,6.1,1074.0
135.0,245.724603,29.91353,107.0,6.6,2051.0
132.0,373.552094,84.366984,92.0,6.5,1346.0
70.0,442.824138,45.381501,115.0,7.3,2888.0
130.0,631.74456,84.689648,90.0,6.9,3145.0
130.0,519.311965,120.09361,117.0,7.0,5880.0
130.0,847.423452,76.310119,146.0,7.4,6495.0
135.0,368.871007,63.473086,94.0,6.8,1519.0
132.0,591.739379,48.572726,116.0,6.2,2322.0
130.0,273.339556,38.068736,147.0,6.3,1564.0
130.0,554.987477,20.678787,90.0,6.4,451.0
110.0,293.329073,48.829437,100.0,6.2,2093.0
125.0,362.637473,46.115758,139.0,5.6,2350.0
130.0,371.940071,89.938296,107.0,6.7,2061.0
130.0,789.804554,79.679601,141.0,7.7,5877.0
130.0,49.554002,28.840997,165.0,6.3,694.0
130.0,243.843127,42.840582,100.0,5.0,2532.0
127.5,354.248063,26.548594,82.0,6.2,542.0
127.0,349.424282,115.597753,97.0,6.1,1851.0
130.0,321.887208,68.757242,95.0,6.7,1918.0
125.0,976.47555,109.984351,152.0,7.5,7006.0
130.0,61.6485,39.448066,96.0,5.4,1260.0
140.0,655.011224,271.972889,143.0,7.5,6985.0
