Country,Value
Argentina,499.0
Aruba,64.0
Australia,74810.0
Austria,1844.0
Bahamas,5246.0
Belgium,5266.0
Bosnia and Herzegovina,96.0
Brazil,1540.0
Bulgaria,1867.0
Cambodia,31.0
Canada,128407.0
Chile,378.0
China,49624.0
Czech Republic,26329.0
Denmark,694.0
Dominica,5246.0
Finland,1732.0
France,133276.0
Germany,220063.0
Greece,101.0
Hong Kong,26622.0
Hungary,5472.0
Iceland,3839.0
India,17212.0
Ireland,12114.0
Italy,29790.0
Jamaica,5246.0
Japan,28514.0
Kazakhstan,175.0
Libyan Arab Jamahiriya,34.0
Lithuania,195.0
Luxembourg,2166.0
Malaysia,197.0
Malta,11961.0
Mexico,10765.0
Monaco,111.0
Morocco,2413.0
Netherlands,3591.0
New Zealand,55035.0
Norway,3023.0
Pakistan,378.0
Panama,109.0
Peru,923.0
Philippines,1520.0
Poland,4232.0
Portugal,756.0
Romania,2654.0
Russia,4657.0
Serbia,426.0
Singapore,3168.0
Slovakia,31.0
Slovenia,1630.0
South Africa,10303.0
South Korea,4226.0
Spain,27326.0
Sweden,4890.0
Switzerland,3294.0
Taiwan,13334.0
Thailand,152.0
Tunisia,207.0
Ukraine,71.0
United Arab Emirates,11481.0
United Kingdom,483966.0
United States of America,2766232.0
