date,value
1927,650422.0
1937,0.0
1940,84300000.0
1960,32000000.0
1962,39622692.5
1963,40500000.0
1964,38410365.5
1965,63665848.0
1968,0.0
1969,25839389.0
1970,29462392.2
1971,41158757.0
1972,0.0
1973,222153072.5
1974,47542841.0
1975,245327000.0
1976,48123136.0
1977,170855557.125
1978,78643886.125
1979,74773724.875
1980,85854950.75
1981,54904599.0
1982,67602088.71428572
1983,127132200.6
1984,78434524.05555555
1985,89139628.21428572
1986,60205306.0
1987,81777229.0
1988,118183561.4
1989,132102695.66666667
1990,180175080.3809524
1991,122179935.90476191
1992,142753385.32
1993,118468960.61290322
1994,134628205.0
1995,117620950.7254902
1996,91489943.5138889
1997,115054039.84810127
1998,90182507.1235955
1999,84709873.6754386
2000,88347495.1779661
2001,95303822.08088236
2002,100844776.56617647
2003,124836963.13636364
2004,110251482.75714286
2005,103873407.0735294
2006,107191107.60544218
2007,125754477.16129032
2008,111790729.37579618
2009,133453198.8
2010,141689139.557971
2011,147292369.79850745
2012,185462961.05555555
2013,168753074.47761193
2014,181234241.171875
2015,191065327.07826087
2016,211998784.15384614
